Year,Euro Area GDP,US GDP
1961,6.679128907,2.3
1962,6.389289446,6.1
1963,5.76745628,4.4
1964,5.487697571,5.8
1965,4.963942297,6.4
1966,5.264697243,6.5
1967,5.261934278,2.5
1968,5.542121605,4.8
1969,6.95354168,3.1
1970,5.610833248,3.206807257
1971,3.806499484,3.295476728
1972,4.923209031,5.263262776
1973,6.170524768,5.643124848
1974,3.217398902,-0.517154562
1975,-0.758991068,-0.197678537
1976,5.020075769,5.386090051
1977,3.078429607,4.608597407
1978,3.131291181,5.561684929
1979,3.846728343,3.17569075
1980,2.158199717,-0.244596225
1981,0.516400131,2.594470388
1982,0.72092711,-1.910891068
1983,1.385134974,4.632457181
1984,2.368608495,7.259086959
1985,2.308251779,4.238737521
1986,2.510757505,3.511614499
1987,2.546753861,3.461747692
1988,4.3130854,4.203971979
1989,4.104758036,3.680524033
1990,3.577926673,1.919370297
1991,2.656477243,-0.074084531
1992,1.413004051,3.555396148
1993,-0.659419541,2.745856719
1994,2.471018461,4.037643425
1995,2.471966318,2.718975789
1996,1.734254006,3.795881229
1997,2.720974778,4.487026493
1998,2.962961623,4.449910963
1999,2.991195982,4.685199608
2000,3.86383775,4.092176449
2001,2.166052258,0.975981834
2002,1.011766892,1.786127687
2003,0.724364346,2.806775956
2004,2.325288107,3.78574285
2005,1.696435641,3.345216063
2006,3.239510205,2.666625826
2007,3.024478828,1.77857024
2008,0.432909114,-0.291621459
2009,-4.517595083,-2.775529574
2010,2.090065774,2.531920616
2011,1.548816809,1.601454672
2012,-0.91289223,2.224030854
2013,-0.263594041,1.67733153
2014,1.234545175,2.370457671
2015,1.998701693,2.596148041
2016,1.751021868,1.61565606
